ID	Sex	Pack	Birth Date		Estimated birth date
DM126	M	11	08-May-08		
DM165	M	11	14-Oct-09		
DM168	M	11	28-Dec-09		
DM170	M	11	12-May-10		
DM171	M	11	12-May-10		
DM179	M	11	23-Jul-10		
DM180	M	11	23-Jul-10		
DM189	M	11	02-Aug-11		
DF190	F	11	22-Oct-11		
DM192	M	11	22-Oct-11		
DM193	M	11	22-Oct-11		
DM194	M	11	22-Oct-11		
DM198	M	11	16-May-12		
DF200	F	11	16-May-12		
DF201	F	11	16-May-12		
DM203	M	11	16-May-12		
DM204	M	11	16-May-12		
DM206	M	11	16-May-12		
DF208	F	11	16-May-12		
DM209	M	11	16-May-12		
DM212	M	11	06-Oct-12		
DM213	M	11	06-Oct-12		
DM215	M	11	06-Oct-12		
DF216	F	11	06-Oct-12		
DM220	M	11	16-Apr-13		
DF222	F	11	26-Jun-13		
DF223	F	11	26-Jun-13		
SM009	M	17	15-Sep-08		
SM013	M	17	15-Sep-08		
SF017	F	17	01-Jan-10		Y
SM018	M	17	01-Jan-10		Y
SM021	M	17	11-May-11		
SF024	F	17	01-Jan-10		Y
SF034	F	17	05-Nov-12		
SF038	F	17	05-Nov-12		
SM039	M	17	05-Nov-12		
HM069	M	17	31-Oct-03		
HM092	M	17	19-Apr-05		
UM020	M	18	01-Aug-11		
XM003	M	19	01-Jan-12		Y
XF004	F	19	01-Jan-12		Y
XF005	F	19	01-Jan-12		Y
XM006	M	19	01-Jan-12		Y
XM007	M	19	01-Jan-12		Y
XF008	F	19	01-Jan-13		Y
XM009	M	19	01-Jan-14		Y
XF010	F	19	01-Jan-14		Y
XF012	F	19	01-Jan-14		Y
XF016	F	19	04-Apr-14		
XM017	M	19	04-Apr-14		
XM018	M	19	04-Apr-14		
XF020	F	19	16-Jun-14		
XM021	M	19	16-Jun-14		
XF022	F	19	16-Jun-14		
XM023	M	19	16-Jun-14		
YM024	M	19	02-May-07		
XM024	M	19	16-Jun-14		
XM025	M	19	16-Jun-14		
XF026	F	19	16-Jun-14		
YM031	M	19	25-Jun-07		
BM216	M	1B	27-Mar-04		
BM410	M	1B	15-Sep-08		
BM436	M	1B	25-Mar-09		
BM438	M	1B	25-Mar-09		
BM455	M	1B	20-Jun-09		
BF473	F	1B	22-Jan-10		
BF484	F	1B	07-May-10		
BM500	M	1B	09-Dec-10		
BF535	F	1B	02-Jul-11		
BM558	M	1B	20-Apr-12		
BF561	F	1B	20-Apr-12		
BM564	M	1B	20-Apr-12		
BF566	F	1B	20-Apr-12		
BF589	F	1B	27-Jun-12		
BF593	F	1B	17-Sep-12		
BM620	M	1B	03-Jul-13		
BF622	F	1B	03-Jul-13		
BF627	F	1B	03-Jul-13		
BM638	M	1B	10-Oct-13		
BM643	M	1B	10-Jun-14		
BF645	F	1B	10-Jun-14		
BM646	M	1B	10-Jun-14		
BF647	F	1B	10-Jun-14		
BP653	P	1B	25-Jul-14		
BP654	P	1B	25-Jul-14		
HM117	M	1H	17-May-06		
HF125	F	1H	30-Nov-06		
HF178	F	1H	14-Oct-08		
HM180	M	1H	14-Oct-08		
HF182	F	1H	12-Mar-09		
HM195	M	1H	18-Dec-09		
HM216	M	1H	10-Nov-10		
HM217	M	1H	10-Nov-10		
HF220	F	1H	10-Nov-10		
HM222	M	1H	10-Nov-10		
HM223	M	1H	10-Nov-10		
HF240	F	1H	23-Apr-12		
HM241	M	1H	23-Apr-12		
HF242	F	1H	23-Apr-12		
HM246	M	1H	23-Apr-12		
HF248	F	1H	27-Jun-12		
HF260	F	1H	06-Jun-13		
HF261	F	1H	06-Jun-13		
HM275	M	1H	05-Oct-13		
HF276	F	1H	11-Apr-14		
HF285	F	1H	18-Jun-14		
TF121	F	2	01-Jan-04		Y
TF125	F	2	01-Jan-04		Y
TM233	M	2	30-Jul-08		
TM236	M	2	02-Oct-08		
TF249	F	2	02-Oct-08		
TM272	M	2	02-Feb-10		
TM279	M	2	15-Apr-10		
TM283	M	2	24-Jun-10		
TF284	F	2	24-Jun-10		
